start run api module
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] POST   /user/login               --> gochat/api/handler.Login (4 handlers)
[GIN-debug] POST   /user/register            --> gochat/api/handler.Register (4 handlers)
[GIN-debug] POST   /user/checkAuth           --> gochat/api/handler.CheckAuth (5 handlers)
[GIN-debug] POST   /user/logout              --> gochat/api/handler.Logout (5 handlers)
[GIN-debug] POST   /push/push                --> gochat/api/handler.Push (5 handlers)
[GIN-debug] POST   /push/pushRoom            --> gochat/api/handler.PushRoom (5 handlers)
[GIN-debug] POST   /push/count               --> gochat/api/handler.Count (5 handlers)
[GIN-debug] POST   /push/getRoomInfo         --> gochat/api/handler.GetRoomInfo (5 handlers)
time="2023-07-22T19:34:02+08:00" level=info msg="server start , now run mode is debug" func="gochat/api.(*Chat).Run" file="/Users/hushuang/project/gochat/api/chat.go:35"
[GIN] 2023/07/22 - 19:34:06 | 200 |   24.810276ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   21.332007ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   18.426376ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   24.665301ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   25.975396ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   25.372218ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   25.772868ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   26.236413ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   17.145883ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   25.450273ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   25.740787ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   15.661578ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   25.245397ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   13.692396ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   14.712081ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   20.795338ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   27.285665ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   21.435141ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   23.122639ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    21.66009ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   31.011077ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |    19.04847ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   27.828396ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   27.568349ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   22.826974ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   33.545468ms |       127.0.0.1 | POST     "/push/pushRoom"
[GIN] 2023/07/22 - 19:34:06 | 200 |   26.186995ms |       127.0.0.1 | POST     "/push/pushRoom"
